iter	Passed	Remaining
451	1055	5952
452	1058	5949
453	1060	5944
454	1061	5938
455	1063	5933
456	1065	5928
457	1067	5925
458	1069	5921
459	1071	5916
460	1073	5911
461	1075	5905
462	1076	5900
463	1078	5895
464	1080	5890
465	1082	5886
466	1084	5883
467	1086	5878
468	1088	5873
469	1089	5867
470	1091	5861
471	1093	5856
472	1095	5851
473	1097	5846
474	1098	5841
475	1100	5836
476	1102	5831
477	1104	5825
478	1106	5821
479	1107	5816
480	1109	5811
481	1112	5810
482	1114	5807
483	1116	5802
484	1117	5797
485	1119	5792
486	1122	5789
487	1123	5785
488	1125	5780
489	1127	5776
490	1129	5772
491	1131	5768
492	1134	5768
493	1136	5765
494	1138	5761
495	1140	5756
496	1142	5751
497	1143	5747
498	1146	5743
499	1147	5739
500	1149	5736
501	1151	5731
502	1153	5726
503	1155	5722
504	1157	5717
505	1159	5714
506	1161	5710
507	1163	5706
508	1164	5701
509	1166	5696
510	1168	5691
511	1170	5687
512	1172	5684
513	1174	5680
514	1176	5675
515	1178	5670
516	1179	5665
517	1181	5661
518	1183	5656
519	1185	5653
520	1187	5649
521	1189	5645
522	1191	5641
523	1192	5636
524	1194	5632
525	1196	5627
526	1198	5625
527	1200	5622
528	1202	5618
529	1204	5614
530	1206	5610
531	1208	5607
532	1210	5604
533	1214	5606
534	1216	5603
535	1218	5599
536	1220	5595
537	1221	5591
538	1223	5588
539	1225	5584
540	1227	5581
541	1230	5578
542	1231	5574
543	1234	5571
544	1235	5566
545	1237	5563
546	1239	5559
547	1241	5557
548	1243	5552
549	1245	5549
550	1247	5545
551	1249	5542
552	1251	5539
553	1253	5534
554	1255	5530
555	1257	5525
556	1258	5520
557	1260	5516
558	1262	5512
559	1264	5510
560	1266	5507
561	1268	5503
562	1270	5500
563	1272	5496
564	1274	5493
565	1276	5490
566	1278	5487
567	1280	5484
568	1282	5481
569	1284	5477
570	1286	5474
571	1288	5471
572	1290	5468
573	1292	5464
574	1295	5463
575	1297	5461
576	1299	5457
577	1301	5455
578	1303	5451
579	1305	5448
580	1307	5444
581	1309	5441
582	1311	5438
583	1313	5435
584	1316	5434
585	1318	5430
586	1319	5426
587	1322	5423
588	1324	5420
589	1326	5418
590	1328	5414
591	1330	5410
592	1332	5407
593	1334	5405
594	1336	5402
595	1338	5399
596	1340	5397
597	1342	5394
598	1344	5391
599	1346	5387
600	1348	5382
601	1350	5379
602	1352	5376
603	1354	5373
604	1356	5369
605	1358	5365
606	1360	5362
607	1362	5359
608	1364	5355
609	1366	5353
610	1368	5350
611	1370	5346
612	1372	5343
613	1373	5339
614	1375	5335
615	1377	5331
616	1379	5328
617	1381	5325
618	1383	5322
619	1385	5319
620	1388	5317
621	1389	5313
622	1392	5311
623	1394	5308
624	1396	5305
625	1398	5303
626	1400	5300
627	1402	5297
628	1404	5294
629	1406	5292
630	1409	5290
631	1411	5288
632	1413	5285
633	1415	5282
634	1417	5279
635	1419	5276
636	1421	5273
637	1423	5270
638	1425	5267
639	1427	5263
640	1430	5263
641	1432	5260
642	1434	5256
643	1436	5254
644	1438	5250
645	1440	5247
646	1442	5245
647	1444	5242
648	1446	5239
649	1448	5236
650	1450	5233
651	1452	5229
652	1454	5226
653	1456	5224
654	1458	5222
655	1460	5218
656	1462	5215
657	1464	5211
658	1466	5207
659	1468	5206
660	1470	5203
661	1472	5199
662	1474	5197
663	1476	5194
664	1478	5191
665	1480	5187
666	1482	5184
667	1484	5181
668	1485	5177
669	1488	5176
670	1490	5173
671	1492	5170
672	1494	5168
673	1496	5164
674	1498	5161
675	1500	5158
676	1502	5156
677	1504	5152
